;movie_title;HCA
209;Rio 2 ;121
210;X-Men 2 ;138
211;Fast Five ;58
212;Sherlock Holmes: A Game of Shadows ;46
213;Clash of the Titans ;160
214;Total Recall ;156
215;The 13th Warrior ;152
216;The Bourne Legacy ;135
217;Batman & Robin ;165
218;How the Grinch Stole Christmas ;112
219;The Day After Tomorrow ;137
220;Mission: Impossible II ;135
221;The Perfect Storm ;27
222;Fantastic 4: Rise of the Silver Surfer ;137
223;Life of Pi ;146
224;Ghost Rider ;3
225;Jason Bourne ;144
226;Charlie's Angels: Full Throttle ;76
227;Prometheus ;48
228;Stuart Little 2 ;122
229;Elysium ;141
230;The Chronicles of Riddick ;137
231;RoboCop ;139
232;Speed Racer ;109
233;How Do You Know ;100
234;Knight and Day ;162
235;Oblivion ;48
236;Star Wars: Episode III - Revenge of the Sith ;159
237;Star Wars: Episode II - Attack of the Clones ;159
238;Monsters, Inc. ;122
239;The Wolverine ;137
240;Star Wars: Episode I - The Phantom Menace ;159
241;The Croods ;122
242;Asterix at the Olympic Games ;125
243;Windtalkers ;35
244;The Huntsman: Winter's War ;158
245;Teenage Mutant Ninja Turtles ;157
246;Gravity ;149
247;Dante's Peak ;135
248;Teenage Mutant Ninja Turtles: Out of the Shadows ;157
249;Fantastic Four ;155
250;Night at the Museum ;128
251;San Andreas ;27
252;Tomorrow Never Dies ;135
253;The Patriot ;30
254;Ocean's Twelve ;67
255;Mr. & Mrs. Smith ;61
256;Insurgent ;143
257;The Aviator ;41
258;Gulliver's Travels ;125
259;The Green Hornet ;145
260;The A-Team             ;165
261;300: Rise of an Empire ;35
262;The Smurfs ;122
263;Home on the Range ;121
264;Allegiant ;48
265;Real Steel ;156
266;The Smurfs 2 ;122
267;Speed 2: Cruise Control ;61
268;Ender's Game ;156
269;Live Free or Die Hard ;135
270;The Lord of the Rings: The Fellowship of the Ring ;158
271;Around the World in 80 Days ;76
272;Ali ;117
273;The Cat in the Hat ;125
274;I, Robot ;48
275;Kingdom of Heaven ;152
276;Stuart Little ;125
277;The Princess and the Frog ;119
278;The Martian ;149
279;10,000 B.C.             ;85
280;The Island ;161
281;Town & Country ;82
282;Gone in Sixty Seconds ;58
283;Gladiator ;163
284;Minority Report ;48
285;Harry Potter and the Chamber of Secrets ;124
286;Casino Royale ;135
287;Planet of the Apes ;137
288;Terminator 2: Judgment Day ;156
289;Public Enemies ;63
290;American Gangster ;43
291;True Lies ;145
292;The Taking of Pelham 1 2 3 ;58
293;Little Fockers ;82
294;The Other Guys ;79
295;Eraser ;56
296;Django Unchained ;21
297;The Hunchback of Notre Dame ;119
298;The Emperor's New Groove ;122
299;The Expendables 2 ;135
300;National Treasure ;128
301;Eragon ;126
302;Where the Wild Things Are ;103
304;Epic ;123
305;The Tourist ;161
306;End of Days ;10
307;Blood Diamond ;150
308;The Wolf of Wall Street ;40
309;Batman Forever ;160
310;Starship Troopers ;35
311;Cloud Atlas ;22
312;Legend of the Guardians: The Owls of Ga'Hoole ;126
313;Catwoman ;61
314;Hercules ;164
315;Treasure Planet ;90
316;Land of the Lost ;89
317;The Expendables 3 ;135
318;Point Break ;58
319;Son of the Mask ;112
320;In the Heart of the Sea ;152
321;The Adventures of Pluto Nash ;157
322;Green Zone ;26
323;The Peanuts Movie ;132
324;The Spanish Prisoner ;55
325;The Mummy Returns ;138
326;Gangs of New York ;59
327;The Flowers of War ;32
328;Surf's Up ;108
329;The Stepford Wives ;145
330;Black Hawk Down ;31
331;The Campaign ;85
332;The Fifth Element ;155
333;Sex and the City 2 ;100
334;The Road to El Dorado ;106
335;Ice Age: Continental Drift ;132
336;Cinderella ;103
337;The Lovely Bones ;7
338;Finding Nemo ;132
339;The Lord of the Rings: The Return of the King ;158
340;The Lord of the Rings: The Two Towers ;158
341;Seventh Son ;160
342;Lara Croft: Tomb Raider ;138
343;Transcendence ;54
344;Jurassic Park III ;137
345;Rise of the Planet of the Apes ;141
346;The Spiderwick Chronicles ;124
347;A Good Day to Die Hard ;144
